caller	callee
apply_synth_filter_delay	codo_fmul
apply_synth_filter_lphp	codo_fmul
assignment	__stack_chk_fail@plt
assignment	adjust_assign.isra.115
assignment	assignment
assignment	checklimit.part.122
assignment	checknext
assignment	explist
assignment	llex
assignment	luaK_code
assignment	luaK_reserveregs
assignment	luaK_setoneret
assignment	luaK_storevar
assignment	luaX_syntaxerror
assignment	suffixedexp
audio_stat	codo_get_pico8_channel_sfx
audio_stat	codo_get_pico8_song_ticks
audio_stat	codo_get_sfx_playing_note
audio_stat	codo_music_is_playing
auxresume	lua_checkstack
auxresume	lua_pushlstring
auxresume	lua_resume
auxresume	lua_settop
auxsort	auxsort
auxsort	index2addr
auxsort	luaD_call.constprop.198
auxsort	luaL_error
auxsort	luaV_lessthan
auxsort	lua_compare
auxsort	lua_rawgeti.constprop.175
auxsort	lua_rawseti.constprop.172
auxsort	sort_comp.constprop.135
b_and	__stack_chk_fail@plt
b_and	index2addr
b_and	luaO_str2d.part.50
b_and	strpbrk@plt
b_and	tag_error
b_arshift	__stack_chk_fail@plt
b_arshift	luaV_tonumber.part.56
b_arshift	tag_error
b_extract	__stack_chk_fail@plt
b_extract	index2addr
b_extract	luaL_argerror
b_extract	luaL_checkinteger
b_extract	luaL_error
b_extract	luaV_tonumber.part.56
b_extract	tag_error
b_lrot	__stack_chk_fail@plt
b_lrot	luaV_tonumber.part.56
b_lrot	tag_error
b_lshift	__stack_chk_fail@plt
b_lshift	luaV_tonumber.part.56
b_lshift	tag_error
b_not	__stack_chk_fail@plt
b_not	luaV_tonumber.part.56
b_not	tag_error
b_or	__stack_chk_fail@plt
b_or	index2addr
b_or	luaO_str2d.part.50
b_or	strpbrk@plt
b_or	tag_error
b_replace	__stack_chk_fail@plt
b_replace	index2addr
b_replace	luaL_argerror
b_replace	luaL_checkinteger
b_replace	luaL_error
b_replace	luaV_tonumber.part.56
b_replace	tag_error
b_rrot	__stack_chk_fail@plt
b_rrot	luaV_tonumber.part.56
b_rrot	tag_error
b_rshift	__stack_chk_fail@plt
b_rshift	luaV_tonumber.part.56
b_rshift	tag_error
b_test	__stack_chk_fail@plt
b_test	index2addr
b_test	luaO_str2d.part.50
b_test	strpbrk@plt
b_test	tag_error
b_xor	__stack_chk_fail@plt
b_xor	index2addr
b_xor	luaO_str2d.part.50
b_xor	strpbrk@plt
b_xor	tag_error
backup_audio	memcpy@plt
backup_audio	memset@plt
backup_bmp	codo_blit
backup_gfx	codo_blit
backup_gfx	codo_push_undo_state
backup_gfx	create_undo_bmp_state
blah	__printf_chk@plt
blit_pico8_back_page_to_pico8_screen	__stack_chk_fail@plt
blit_pico8_back_page_to_pico8_screen	codo_get_time
blit_pico8_back_page_to_pico8_screen	pico8_peek
block	__stack_chk_fail@plt
block	leaveblock
block	statlist
block_buttons	pico8_peek
body	__stack_chk_fail@plt
body	check_match
body	checknext
body	close_func
body	llex
body	luaC_barrier_
body	luaD_growstack
body	luaF_newproto
body	luaH_new
body	luaK_code
body	luaK_exp2nextreg
body	luaM_growaux_
body	luaX_newstring
body	luaX_syntaxerror
body	memset@plt
body	new_localvar
body	statlist
boot_embedded_cart	clear_embedded_carts
boot_embedded_cart	codo_create_pico8_cart
boot_embedded_cart	codo_destroy_pico8_cart
boot_embedded_cart	load_pico8_cart_32k
boot_embedded_cart	mount_embedded_cart
boot_embedded_cart	prepare_loaded_cart
boot_init	cmusic_stop
boot_init	codo_clear_bitmap
boot_init	codo_get_time
boot_init	codo_keypressed
boot_init	codo_line
boot_init	codo_readkey
boot_init	codo_stop_all_sounds
boot_init	pico8_srand
boot_init	pico_print
boot_init	reset_lua_machine
boot_init	reset_runtime_state
boot_init	time@plt
build_paused_menu	__sprintf_chk@plt
build_paused_menu	codo_get_windowed
build_paused_menu	get_run_chain_label
build_paused_menu	strncpy@plt
button_pressed_nok	__stack_chk_fail@plt
button_pressed_nok	codo_get_joystick
cactor_evaluate_bones	memcpy@plt
calculate_dormant_tokens	count_tokens
calculate_osc_state	apply_meta_instrument
calculate_skip_steps	codo_get_key_state
calculate_skip_steps	strchr@plt
calculate_skip_steps	strlen@plt
calculate_tab_char_limits	strlen@plt
callTM.isra.75	luaD_call
cancel_download	codo_destroy_thread
cancel_download	show_message
canim_channel_delete	memcpy@plt
canim_channel_evaluate_nonlinear	__stack_chk_fail@plt
canim_channel_evaluate_nonlinear	cos@plt
canim_channel_insert_state	codo_realloc
canim_channel_insert_state	memcpy@plt
canim_channel_set_num_states	codo_realloc
canim_delete_actor	canim_destroy_actor.part.1
canim_destroy_actor.part.1	codo_free
canim_new_actor	__sprintf_chk@plt
canim_new_actor	codo_malloc
canim_new_actor	codo_realloc
cart_menu_pop	__sprintf_chk@plt
cart_menu_pop	codo_strcpy
cbuffer_add_data	codo_fwrite
cbuffer_add_string	codo_fwrite
cbuffer_add_string	strlen@plt
cbuffer_add_uint8	malloc@plt
cbuffer_add_uint8	memset@plt
cbuffer_add_uint8	realloc@plt
cdict_entries	strcmp@plt
checkSDLError	SDL_GetError@plt
checkSDLError	__printf_chk@plt
checkSDLError	fflush@plt
check_bbs_file_ok	codo_destroy_bitmap
check_bbs_file_ok	codo_file_exists
check_bbs_file_ok	codo_load_png
check_bbs_file_ok	codo_strcasestr
check_cart_update_nfo	__isoc99_sscanf@plt
check_cart_update_nfo	__stack_chk_fail@plt
check_cart_update_nfo	codo_destroy_stable
check_cart_update_nfo	codo_load_stable_config
check_cart_update_nfo	codo_sts
check_cart_update_nfo	get_bbs_cart_filename_ex.part.2
check_cart_update_nfo	get_bbs_cart_filename_legacy
check_cart_update_nfo	get_run_chain_label
check_cart_update_nfo	memcmp@plt
check_cart_update_nfo	strcmp@plt
check_cart_update_nfo	strlen@plt
check_match	__stack_chk_fail@plt
check_match	error_expected
check_match	find_tab_line
check_match	luaO_pushfstring
check_match	luaX_next.part.119
check_match	luaX_syntaxerror
check_match	luaX_token2str
check_next	luaZ_fill
check_next	save
check_next	strchr@plt
checklimit.part.122	find_tab_line
checklimit.part.122	luaO_pushfstring
checklimit.part.122	luaX_syntaxerror
checkload.part.80	luaL_error
checkload.part.80	lua_tolstring.constprop.186
checkload.part.80	lua_tolstring.constprop.187
checknext	error_expected
checknext	llex
clean_pico8_string	is_input_char
clear_selected_region	__stack_chk_fail@plt
clear_selected_region	codo_rectfill
clear_selected_region	get_selected_area
clear_splore_list	codo_destroy_bitmap
clearkeys.constprop.207	reallymarkobject
clearvalues	reallymarkobject
close_func	leaveblock
close_func	luaK_code
close_func	luaM_realloc_
close_func	luaM_toobig
close_func	luaX_newstring
close_state	luaC_freeallobjects
close_state	luaF_close
close_state	luaM_realloc_.constprop.195
closegoto.isra.125	__stack_chk_fail@plt
closegoto.isra.125	find_tab_line
closegoto.isra.125	luaK_concat.part.108
closegoto.isra.125	luaO_pushfstring
closegoto.isra.125	luaX_syntaxerror
closegoto.isra.125	memmove@plt
closegoto.isra.125	patchlistaux
cmodel_calculate_bone_parents	codo_free
cmodel_calculate_bone_parents	codo_realloc
cmodel_calculate_bone_vertices	__stack_chk_fail@plt
cmodel_calculate_bone_vertices	atan2@plt
cmodel_calculate_bone_vertices	atan@plt
cmodel_calculate_bone_vertices	cmodel_calculate_matrices
cmodel_calculate_bone_vertices	codo_apply_matrix_inverse
cmodel_calculate_bone_vertices	codo_free
cmodel_calculate_bone_vertices	codo_malloc
cmodel_calculate_bone_vertices	codo_normalize
cmodel_calculate_bone_vertices	codo_realloc
cmodel_calculate_bone_vertices	memcpy@plt
cmodel_calculate_bone_vertices	sqrtf@plt
cmodel_calculate_matrices	codo_cross_product
cmodel_calculate_matrices	codo_realloc
cmodel_calculate_matrices	sincos@plt
cmodel_calculate_normals	__stack_chk_fail@plt
cmodel_calculate_normals	codo_cross_product
cmodel_calculate_normals	codo_normalize
cmodel_calculate_vertex_normals	cmodel_calculate_normals
cmodel_calculate_vertex_normals	codo_normalize
cmodel_calculate_vertex_normals	codo_realloc
cmodel_calculate_vertex_normals	sqrt@plt
cmodel_clear	codo_free
cmodel_decorate	__stack_chk_fail@plt
cmodel_decorate	cmodel_calculate_bone_parents
cmodel_decorate	cmodel_calculate_bone_vertices
cmodel_decorate	codo_cross_product
cmodel_decorate	codo_normalize
cmodel_delete_polygon	codo_free
cmodel_delete_polygon	cpoly_set_num_vertices
cmodel_delete_polygon	memcpy@plt
cmodel_evaluate_bone_vertices	__stack_chk_fail@plt
cmodel_evaluate_bone_vertices	codo_apply_matrix
cmodel_max_polygons	__sprintf_chk@plt
